Resume Skills,Job Description Skills,Match Score,Missing Skills,Recommendations
"['JavaScript', 'Machine Learning', 'Statistics']","['JavaScript', 'Data Science', 'Statistics']",0.5,['Data Science'],['Consider exploring resources to learn Data Science.']
"['Python', 'Machine Learning']","['Python', 'Machine Learning', 'SQL', 'Data Analysis', 'Java']",0.4,"['SQL', 'Data Analysis', 'Java']","['Consider taking an SQL course to improve your database skills.', 'Consider taking courses in data analysis to improve your analytical skills.', 'Explore Java tutorials and build projects to enhance your programming skills.']"
"['Java', 'Spring', 'Hibernate', 'MySQL']","['Java', 'Spring', 'MySQL', 'Hibernate', 'Node.js']",0.8,['Node.js'],['Familiarize yourself with Node.js to strengthen your full-stack capabilities.']
"['JavaScript', 'HTML', 'CSS']","['JavaScript', 'HTML', 'CSS', 'Bootstrap', 'React']",0.6,"['Bootstrap', 'React']","['Explore Bootstrap tutorials to create responsive web applications.', 'Consider exploring resources to learn React.']"
"['PHP', 'MySQL', 'WordPress']","['PHP', 'MySQL', 'WordPress', 'JavaScript']",0.75,['JavaScript'],['Consider JavaScript frameworks like React or Angular for front-end development.']
"['Bootstrap', 'HTML', 'CSS']","['Bootstrap', 'HTML', 'CSS', 'Javascript']",0.75,['Javascript'],['Consider exploring resources to learn Javascript.']
"['C++', 'Data Structures', 'Algorithms']","['C++', 'Data Structures', 'Algorithms', 'Python']",0.75,['Python'],['Consider exploring resources to learn Python.']
"['Node.js', 'Express', 'MongoDB']","['Node.js', 'Express', 'MongoDB', 'JavaScript']",0.75,['JavaScript'],['Consider JavaScript frameworks like React or Angular for front-end development.']
"['Ruby', 'Ruby on Rails', 'SQL']","['Ruby', 'Ruby on Rails', 'SQL', 'HTML']",0.75,['HTML'],['Consider exploring resources to learn HTML.']
"['C#', '.NET', 'SQL Server']","['C#', '.NET', 'SQL Server', 'Agile']",0.75,['Agile'],['Consider exploring resources to learn Agile.']
"['Swift', 'iOS Development']","['Swift', 'iOS Development', 'Objective-C']",0.6666666666666666,['Objective-C'],['Consider exploring resources to learn Objective-C.']
"['Kotlin', 'Android Development']","['Kotlin', 'Android Development', 'Java']",0.6666666666666666,['Java'],['Explore Java tutorials and build projects to enhance your programming skills.']
"['R', 'Statistics', 'Data Visualization']","['R', 'Statistics', 'Data Visualization']",1.0,[],[]
"['TensorFlow', 'Deep Learning']","['TensorFlow', 'Deep Learning', 'Python']",0.6666666666666666,['Python'],['Consider exploring resources to learn Python.']
"['Git', 'GitHub', 'Version Control']","['Git', 'GitHub', 'Version Control', 'Agile']",0.75,['Agile'],['Consider exploring resources to learn Agile.']
['DevOps'],"['Docker', 'Kubernetes', 'DevOps']",0.3333333333333333,"['Docker', 'Kubernetes']","['Consider exploring resources to learn Docker.', 'Consider exploring resources to learn Kubernetes.']"
"['Tableau', 'Data Analysis']","['Power BI', 'Tableau', 'Data Analysis']",0.6666666666666666,['Power BI'],['Explore Power BI to enhance your data visualization capabilities.']
"['Agile', 'Scrum', 'Lean']","['Agile', 'Scrum', 'Project Management']",0.5,['Project Management'],['Consider exploring resources to learn Project Management.']
"['SEO', 'Digital Marketing']","['SEO', 'Digital Marketing', 'Content Writing']",0.6666666666666666,['Content Writing'],['Consider exploring resources to learn Content Writing.']
"['React', 'JavaScript']","['React', 'Redux', 'JavaScript']",0.6666666666666666,['Redux'],['Consider exploring resources to learn Redux.']
"['Angular', 'Javascript', 'Frontend Development']","['Angular', 'TypeScript', 'Frontend Development']",0.5,['TypeScript'],['Learn TypeScript for better development practices in modern JavaScript.']
['Java'],"['Java', 'Spring Boot', 'Microservices']",0.3333333333333333,"['Microservices', 'Spring Boot']","['Deepen your understanding of Microservices architecture.', 'Consider exploring resources to learn Spring Boot.']"
"['Swift', 'iOS']","['Swift', 'Objective-C', 'iOS']",0.6666666666666666,['Objective-C'],['Consider exploring resources to learn Objective-C.']
"['Game Development', 'C#']","['Unity', 'Game Development', 'C#']",0.6666666666666666,['Unity'],['Consider exploring resources to learn Unity.']
['Cloud Computing'],"['Salesforce', 'CRM', 'Cloud Computing']",0.3333333333333333,"['Salesforce', 'CRM']","['Consider exploring resources to learn Salesforce.', 'Consider exploring resources to learn CRM.']"
"['PHP', 'Laravel', 'Web Development']","['PHP', 'Laravel', 'Web Development', 'HTML']",0.75,['HTML'],['Consider exploring resources to learn HTML.']
